name,addr,city,phone,type,cluster,postal,latlng
khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian,103,94121,"(37.780077, -122.483303)"
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,103,94121,"(37.780077, -122.483303)"
la folie,2316 polk st.,san francisco,415/776-5577,french,104,94109,"(37.7981417, -122.4220609)"
la folie,2316 polk st.,san francisco,415-776-5577,french (new),104,94109,"(37.7981417, -122.4220609)"
lulu,816 folsom st.,san francisco,415/495-5775,mediterranean,105,94107,"(37.7817926, -122.4018175)"
lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,mediterranean,105,94107,"(37.7817926, -122.4018175)"
masa's,648 bush st.,san francisco,415/989-7154,french,106,94108,"(37.7904165, -122.4080108)"
masa's,648 bush st.,san francisco,415-989-7154,french (new),106,94108,"(37.7904165, -122.4080108)"
mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,asian,107,94115,"(37.7852719, -122.4291175)"
mifune,1737 post st.,san francisco,415-922-0337,japanese,107,94115,"(37.7852719, -122.4291175)"
plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean,108,94123,"(37.79911990000001, -122.4360911)"
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new),108,94123,"(37.79834090000001, -122.4359412)"
postrio,545 post st.,san francisco,415/776-7825,american,109,94102,"(37.78783320000001, -122.4107721)"
postrio,545 post st.,san francisco,415-776-7825,californian,109,94102,"(37.78783320000001, -122.4107721)"
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,110,94108,"(37.7918754, -122.4070392)"
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),110,94108,"(37.7918754, -122.4070392)"
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,111,94133,"(37.80007270000001, -122.4094286)"
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,111,94133,"(37.80007270000001, -122.4094286)"
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,112,90077,"(34.127257, -118.443605)"
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113,90212,"(34.0667493, -118.4026976)"
beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french,114,90265,"(34.03346630000001, -118.7420834)"
bistro garden,176 n. canon dr.,los angeles,310/550-3900,californian,115,90210,"(34.0676709, -118.3975518)"
border grill,4th st.,los angeles,310/451-1655,mexican,116,,"(34.0557304, -118.2581762)"
broadway deli,3rd st. promenade,santa monica,310/451-0616,american,117,90401,"(34.0164013, -118.4968895)"
ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian,118,90036,"(34.0674961, -118.3436849)"
ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,italian,119,91602,"(34.1439588, -118.3611242)"
cafe pinot,700 w. fifth st.,los angeles,213/239-6500,californian,120,90071,"(34.0510388, -118.2557575)"
california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian,121,90212,"(34.0647384, -118.3993623)"
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,122,90036,"(34.0787779, -118.3618587)"
cava,3rd st.,los angeles,213/658-8898,mediterranean,123,,"(34.0090307, -118.4881742)"
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,124,90004,"(34.0834209, -118.286624)"
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,125,90004,"(34.076589, -118.3233188)"
clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food,126,91105,"(34.1454464, -118.1538679)"
dining room,9500 wilshire blvd.,los angeles,310/275-5200,californian,127,90212,"(34.0670787, -118.4001931)"
dive!,10250 santa monica blvd.,los angeles,310/788-,dive american,128,90067,"(34.0590031, -118.418866)"
drago,2628 wilshire blvd.,santa monica,310/828-1585,italian,129,90403,"(34.0364059, -118.476565)"
drai's,730 n. la cienega blvd.,los angeles,310/358-8585,french,130,90069,"(34.0844861, -118.3760979)"
dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental,131,90024,"(34.0633123, -118.440862)"
eclipse,8800 melrose ave.,los angeles,310/724-5959,californian,132,90069,"(34.0805659, -118.3857525)"
ed debevic's,134 n. la cienega,los angeles,310/659-1952,american,133,90048,"(34.0759425, -118.3756145)"
el cholo,1121 s. western ave.,los angeles,213/734-2773,mexican,134,90006,"(34.0503994, -118.3093451)"
gilliland's,2424 main st.,santa monica,310/392-3901,american,135,90405,"(34.0036817, -118.4855511)"
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american,136,90272,"(34.038338, -118.556578)"
hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,137,90048,"(34.0762713, -118.3786544)"
harry's bar & american grill,2020 ave. of the stars,los angeles,310/277-2333,italian,138,90067,"(34.0583309, -118.4154232)"
il fornaio cucina italiana,301 n. beverly dr.,los angeles,310/550-8330,italian,139,90210,"(34.0685256, -118.4008381)"
jack sprat's grill,10668 w. pico blvd.,los angeles,310/837-6662,health food,140,90064,"(34.0420604, -118.4240002)"
jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian,141,90210,"(34.0706181, -118.4029069)"
jimmy's,201 moreno dr.,los angeles,310/552-2394,continental,142,90212,"(34.0632069, -118.4134126)"
joss,9255 sunset blvd.,los angeles,310/276-1886,asian,143,90069,"(34.09028380000001, -118.3939459)"
le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian,144,90048,"(34.0773657, -118.3833566)"
le dome,8720 sunset blvd.,los angeles,310/659-6919,french,145,90069,"(34.0914626, -118.3811193)"
louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian,146,90027,"(34.111469, -118.2876817)"
mon kee seafood restaurant,679 n. spring st.,los angeles,213/628-6717,asian,147,90012,"(34.0595568, -118.2382488)"
morton's,8764 melrose ave.,los angeles,310/276-5205,american,148,90069,"(34.0805263, -118.3851134)"
nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american,149,90210,"(34.0704481, -118.4020427)"
nicola,601 s. figueroa st.,los angeles,213/485-0927,american,150,90071,"(34.0508105, -118.2592862)"
ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american,151,90401,"(34.0140628, -118.4974358)"
orleans,11705 national blvd.,los angeles,310/479-4187,cajun,152,90064,"(34.0227695, -118.4389915)"
pacific dining car,6th st.,los angeles,213/483-6000,american,153,,"(34.0635745, -118.3007534)"
paty's,10001 riverside dr.,toluca lake,818/761-9126,american,154,91602,"(34.1524376, -118.3496191)"
pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian,155,90028,"(34.0978079, -118.3219489)"
posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian,156,91403,"(34.1521894, -118.4584413)"
prego,362 n. camden dr.,los angeles,310/277-7346,italian,157,90210,"(34.0683982, -118.4035766)"
rj's the rib joint,252 n. beverly dr.,los angeles,310/274-7427,american,158,90210,"(34.0682978, -118.3998339)"
remi,3rd st. promenade,santa monica,310/393-6545,italian,159,90401,"(34.0164013, -118.4968895)"
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian,160,90012,"(34.0500968, -118.2413802)"
roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,american,161,90028,"(34.0985806, -118.322145)"
schatzi on main,3110 main st.,los angeles,310/399-4800,continental,162,90401,"(33.9975848, -118.4795295)"
sofi,3rd st.,los angeles,213/651-0346,mediterranean,163,,"(34.0090307, -118.4881742)"
swingers,8020 beverly blvd.,los angeles,213/653-5858,american,164,90048,"(34.075914, -118.3644371)"
tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian,165,90046,"(34.0837751, -118.3505322)"
the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,166,90210,"(34.0694428, -118.4043525)"
tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian,167,90036,"(34.0837982, -118.3491625)"
tra di noi,3835 cross creek rd.,los angeles,310/456-0169,italian,168,90265,"(34.03567530000001, -118.684834)"
trader vic's,9876 wilshire blvd.,los angeles,310/276-6345,asian,169,90210,"(34.06611669999999, -118.4125882)"
vida,1930 north hillhurst ave.,los feliz,213/660-4446,american,170,90027,"(34.1062943, -118.2871264)"
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american,171,90291,"(33.9847493, -118.4703069)"
20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian,172,10013,"(40.7142758, -73.9989208)"
9 jones street,9 jones st.,new york,212/989-1220,american,173,10014,"(40.7323265, -74.0022166)"
adrienne,700 5th ave. at 55th st.,new york,212/903-3918,french,174,10019,"(40.7616221, -73.97546559999999)"
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean,175,10003,"(40.7317696, -73.9841161)"
aja,937 broadway at 22nd st.,new york,212/473-8388,american,176,10010,"(40.7405516, -73.9896744)"
alamo,304 e. 48th st.,new york,212/ 759-0590,mexican,177,10017,"(40.75318499999999, -73.9693632)"
alley's end,311 w. 17th st.,new york,212/627-8899,american,178,10011,"(40.7420166, -74.0015683)"
ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,american,179,10017,"(40.7504701, -73.96912209999999)"
american place,2 park ave. at 32nd st.,new york,212/684-2122,american,180,10016,"(40.74625169999999, -73.98266)"
anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,italian,181,10022,"(40.7603126, -73.9661582)"
arizona,206 206 e. 60th st.,new york,212/838-0440,american,182,10022,"(40.7618209, -73.9657103)"
arturo's,106 w. houston st.  off thompson st.,new york,212/677-3820,italian,183,10012,"(40.7273906, -74.0003969)"
au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian,184,10281,"(40.71397839999999, -74.0147917)"
bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,185,10065,"(40.7627071, -73.96612739999999)"
barbetta,321 w. 46th st.,new york,212/246-9171,italian,186,10036,"(40.7604109, -73.9889762)"
ben benson's,123 w. 52nd st.,new york,212/581-8888,american,187,10019,"(40.7617542, -73.9805768)"
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,188,10011,"(40.7442827, -73.99886529999999)"
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,american,189,10022,"(40.75523829999999, -73.9649493)"
boca chica,13 1st ave.  near 1st st.,new york,212/473-0108,latin american,190,10003,"(40.7234473, -73.9885737)"
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,191,10010,"(40.7403023, -73.9881731)"
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian,192,10021,"(40.7692944, -73.9582662)"
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french,193,10022,"(40.7589351, -73.9608271)"
brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,american,194,10014,"(40.7289925, -74.00552499999999)"
bruno,240 e. 58th st.,new york,212/688-4190,italian,195,10022,"(40.7600574, -73.9655842)"
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american,196,10018,"(40.7529465, -73.9819065)"
c3,103 waverly pl.  near washington sq.,new york,212/254-1200,american,197,10011,"(40.7324563, -73.9987344)"
ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french,198,10010,"(40.7394136, -73.9860703)"
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar,199,10075,"(40.7721816, -73.95561289999999)"
cafe botanica,160 central park s,new york,212/484-5120,french,200,10019,"(40.7660208, -73.97864919999999)"
cafe la fortuna,69 w. 71st st.,new york,212/724-5846,coffee bar,201,10023,"(40.7766459, -73.97879019999999)"
cafe luxembourg,200 w. 70th st.,new york,212/873-7411,french,202,10023,"(40.777425, -73.9831099)"
cafe pierre,2 e. 61st st.,new york,212/940-8185,french,203,10065,"(40.7651828, -73.9718937)"
cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french,204,10017,"(40.7531572, -73.9768781)"
cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,mediterranean,205,10011,"(40.734701, -74.003223)"
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar,206,10012,"(40.728878, -74.001662)"
caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar,207,10011,"(40.7356133, -74.000277)"
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french,208,10012,"(40.7279278, -74.0009847)"
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar,209,10012,"(40.73030790000001, -74.0003706)"
caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar,210,10013,"(40.720231, -73.9967999)"
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar,211,10012,"(40.725869, -73.994278)"
caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian,212,10011,"(40.74018510000001, -73.9917492)"
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french,213,10013,"(40.723984, -74.00995999999999)"
captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood,214,10017,"(40.7524986, -73.9661194)"
casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,middle eastern,215,10012,"(40.7260095, -73.9992836)"
cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,212/343-9012,asian,216,10013,"(40.721674, -74.001407)"
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french,217,10012,"(40.7282523, -74.0018035)"
chiam,160 e. 48th st.,new york,212/371-2323,asian,218,10017,"(40.754659, -73.9721295)"
china grill,60 w. 53rd st.,new york,212/333-7788,american,219,10019,"(40.7612482, -73.97881269999999)"
cite,120 w. 51st st.,new york,212/956-7100,french,220,10019,"(40.7607952, -73.9812268)"
coco pazzo,23 e. 74th st.,new york,212/794-0205,italian,221,10021,"(40.7734427, -73.9647171)"
columbus bakery,53rd sts.,new york,212/421-0334,coffee bar,222,10019,"(40.7641748, -73.9847444)"
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar,223,,"(40.8327501, -73.9050863)"
cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar,224,10018,"(40.7563564, -73.9938639)"
da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian,225,10013,"(40.7196823, -73.99706429999999)"
dean & deluca,121 prince st.,new york,212/254-8776,coffee bar,226,10012,"(40.7253426, -73.99967509999999)"
diva,341 w. broadway  near grand st.,new york,212/941-9024,italian,227,10014,"(40.7232183, -74.0048444)"
dix et sept,181 w. 10th st.,new york,212/645-8023,french,228,10014,"(40.7344612, -74.00262359999999)"
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,229,10017,"(40.7498006, -73.9749831)"
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american,230,10013,"(40.7171756, -74.0093751)"
el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,mexican,231,10013,"(40.7190438, -74.0061111)"
emily's,1325 5th ave. at 111th st.,new york,212/996-1212,american,232,10029,"(40.7975552, -73.9481517)"
empire korea,6 e. 32nd st.,new york,212/725-1333,asian,233,10016,"(40.746545, -73.98498219999999)"
ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american,234,10023,"(40.7814599, -73.9806864)"
evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian,235,10021,"(40.76598660000001, -73.9570466)"
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian,236,10013,"(40.7235314, -74.0112077)"
felix,340 w. broadway at grand st.,new york,212/431-0021,french,237,10013,"(40.7225918, -74.0038234)"
ferrier,29 e. 65th st.,new york,212/772-9000,french,238,10065,"(40.7672541, -73.96821179999999)"
fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,american,239,10022,"(40.76239229999999, -73.9710279)"
film center cafe,635 9th ave.  between 44th and 45th sts.,new york,212/ 262-2525,american,240,10036,"(40.7602471, -73.9916578)"
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian,241,10023,"(40.771536, -73.981646)"
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american,242,10024,"(40.786044, -73.9727092)"
first,87 1st ave.  between 5th and 6th sts.,new york,212/674-3823,american,243,10003,"(40.7261712, -73.9867987)"
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,244,10023,"(40.7767896, -73.9788166)"
fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar,245,10065,"(40.7616258, -73.9614057)"
flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american,246,10011,"(40.7391649, -73.99474649999999)"
follonico,6 w. 24th st.,new york,212/691-6359,italian,247,10010,"(40.7425357, -73.9903322)"
fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american,248,10004,"(40.7033808, -74.01135219999999)"
french roast,458 6th ave. at 11th st.,new york,212/533-2233,french,249,10011,"(40.735146, -73.99803790000001)"
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar,250,10024,"(40.78764169999999, -73.97659019999999)"
frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,italian,251,10036,"(40.7592097, -73.9927457)"
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian,252,10024,"(40.78406469999999, -73.9735675)"
gabriela's,685 amsterdam ave. at 93rd st.,new york,212/961-0574,mexican,253,10025,"(40.7922221, -73.9714209)"
gallagher's,228 w. 52nd st.,new york,212/245-5336,american,254,10019,"(40.7628299, -73.9838826)"
gianni's,15 fulton st.,new york,212/608-7300,seafood,255,10038,"(40.7067158, -74.0030079)"
girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,italian,256,10022,"(40.7605255, -73.9665898)"
global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american,257,,"(40.7641964, -73.9617361)"
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian,258,10002,"(40.7136831, -73.9971814)"
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian,259,10012,"(40.729259, -73.9987795)"
halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,american,260,10019,"(40.7634378, -73.9805417)"
hard rock cafe,221 w. 57th st.,new york,212/489-6565,american,261,10019,"(40.7661451, -73.9810163)"
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american,262,10021,"(40.7675679, -73.9557712)"
home,20 cornelia st.  between bleecker and w. 4th st.,new york,212/243-9579,american,263,10014,"(40.7313153, -74.0019629)"
hudson river club,4 world financial center,new york,212/786-1500,american,264,10281,"(40.7127168, -74.01528239999999)"
i trulli,122 e. 27th st.  between lexington and park aves.,new york,212/481-7372,italian,265,10016,"(40.7421252, -73.9836267)"
il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,italian,266,10013,"(40.7180002, -73.9982677)"
il nido,251 e. 53rd st.,new york,212/753-8450,italian,267,10022,"(40.7570467, -73.9674646)"
inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american,268,10013,"(40.723311, -74.0024789)"
indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian,269,10003,"(40.7292591, -73.9924719)"
internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,212/ 614-0747,coffee bar,270,10003,"(40.7247613, -73.9883517)"
ipanema,13 w. 46th st.,new york,212/730-5848,latin american,271,10036,"(40.7565846, -73.9797925)"
jean lafitte,68 w. 58th st.,new york,212/751-2323,french,272,10019,"(40.7648121, -73.9764498)"
jewel of india,15 w. 44th st.,new york,212/869-5544,asian,273,10036,"(40.755344, -73.9806613)"
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,212/682-5678,asian,274,10017,"(40.75183699999999, -73.97235599999999)"
joe allen,326 w. 46th st.,new york,212/581-6464,american,275,10036,"(40.7600663, -73.9891208)"
judson grill,152 w. 52nd st.,new york,212/582-5252,american,276,10019,"(40.7617821, -73.9817245)"
l'absinthe,227 e. 67th st.,new york,212/794-4950,french,277,10065,"(40.7660791, -73.9612274)"
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,278,10065,"(40.7631741, -73.95972359999999)"
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french,279,10014,"(40.737252, -74.0040071)"
l'udo,432 lafayette st.  near astor pl.,new york,212/388-0978,french,280,10003,"(40.72926, -73.9923001)"
la reserve,4 w. 49th st.,new york,212/247-2993,french,281,10020,"(40.7580897, -73.97835189999999)"
lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,212/674-7014,italian,282,10009,"(40.72890599999999, -73.9840414)"
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian,283,10036,"(40.7608494, -73.990016)"
layla,211 w. broadway at franklin st.,new york,212/431-0700,middle eastern,284,10013,"(40.7189138, -74.0062106)"
le chantilly,106 e. 57th st.,new york,212/751-2931,french,285,10022,"(40.7611746, -73.97024689999999)"
le colonial,149 e. 57th st.,new york,212/ 752-0808,asian,286,10022,"(40.7608569, -73.9683494)"
le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar,287,10012,"(40.7273246, -74.0024635)"
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,french,288,10012,"(40.72183589999999, -73.9970804)"
le madri,168 w. 18th st.,new york,212/727-8022,italian,289,10011,"(40.7407365, -73.9976424)"
le marais,150 w. 46th st.,new york,212/869-0900,american,290,10036,"(40.758008, -73.98431529999999)"
le perigord,405 e. 52nd st.,new york,212/755-6244,french,291,10022,"(40.7550069, -73.9646207)"
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american,292,10024,"(40.785307, -73.97267200000002)"
les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french,293,10016,"(40.74355509999999, -73.9835152)"
lincoln tavern,51 w. 64th st.,new york,212/721-8271,american,294,10023,"(40.7721715, -73.9815723)"
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american,295,10010,"(40.7413973, -73.9918309)"
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american,296,,"(40.717664, -73.9922279)"
mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood,297,10024,"(40.7825006, -73.980446)"
main street,446 columbus ave.  between 81st and 82nd sts.,new york,212/873-5025,american,298,10024,"(40.783747, -73.974468)"
mangia e bevi,800 9th ave. at 53rd st.,new york,212/956-3976,italian,299,10019,"(40.7653826, -73.9872991)"
manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,212/888-6556,american,300,10065,"(40.7626082, -73.960087)"
manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,212/777-6314,asian,301,10003,"(40.732073, -73.983729)"
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french,302,10017,"(40.7516296, -73.96869029999999)"
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,212/229-9313,coffee bar,303,10003,"(40.734278, -73.9933978)"
match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,american,304,10012,"(40.7251561, -73.9978924)"
matthew's,1030 3rd ave. at 61st st.,new york,212/838-4343,american,305,10065,"(40.7631442, -73.9658025)"
mavalli palace,46 e. 29th st.,new york,212/679-5535,asian,306,10016,"(40.743968, -73.98426599999999)"
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar,307,10011,"(40.7429744, -73.9937234)"
monkey bar,60 e. 54th st.,new york,212/838-2600,american,308,10022,"(40.7598899, -73.97320859999999)"
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian,309,10065,"(40.7616027, -73.9602057)"
